game_name,released_date,platform,overall_rating,exceptional,recommended,meh,skip,metacritic,suggestions_count,tags,all,new_tags,new_plat,year
Ori and the Blind Forest,3/10/2015,"PC', 'Xbox One', 'Xbox 360'",4.4,695,373,64,52,88,525,"singleplayer', 'atmospheric', 'rpg', 'fantasy', 'difficult', 'exploration', 'stats', 'cute', 'metroidvania'",", 'all","singleplayer', 'atmospheric', 'rpg', 'fantasy', 'difficult', 'exploration', 'stats', 'cute', 'metroidvania', 'all","PC', 'Xbox One', 'Xbox 360', 'all",2015
Batman: Arkham City,10/18/2011,"PC', 'PlayStation 4', 'Xbox One', 'macOS', 'Xbox 360', 'PlayStation 3', 'Wii U'",4.42,941,623,115,36,94,620,"horror', 'story', 'city', 'flight', 'soundtrack', 'prison', 'skeletons'",", 'all","horror', 'story', 'city', 'flight', 'soundtrack', 'prison', 'skeletons', 'all","PC', 'PlayStation 4', 'Xbox One', 'macOS', 'Xbox 360', 'PlayStation 3', 'Wii U', 'all",2011
The Binding of Isaac,9/28/2011,"PC', 'macOS'",3.92,264,457,162,60,84,167,"singleplayer', 'atmospheric', 'rpg', 'difficult', 'survival', 'dark', 'roguelike', 'roguelite'",", 'all","singleplayer', 'atmospheric', 'rpg', 'difficult', 'survival', 'dark', 'roguelike', 'roguelite', 'all","PC', 'macOS', 'all",2011
Grim Fandango Remastered,1/26/2015,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'PS Vita'",3.99,335,279,106,80,84,552,"singleplayer', 'atmospheric', 'funny', 'classic', 'comedy', 'retro', 'remake', 'noir'",", 'all","singleplayer', 'atmospheric', 'funny', 'classic', 'comedy', 'retro', 'remake', 'noir', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'PS Vita', 'all",2015
Dead Space 2,1/25/2011,"PC', 'Xbox One', 'Xbox 360', 'PlayStation 3'",4.35,527,529,60,24,87,654,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'gore', 'survival', 'space', 'futuristic', 'aliens', 'blood'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'gore', 'survival', 'space', 'futuristic', 'aliens', 'blood', 'all","PC', 'Xbox One', 'Xbox 360', 'PlayStation 3', 'all",2011
Don't Starve,4/22/2013,"PC', 'PlayStation 4', 'Xbox One', 'macOS', 'Linux', 'PlayStation 3', 'PS Vita', 'Wii U'",3.87,176,535,158,46,79,425,"singleplayer', 'multiplayer', 'horror', 'difficult', 'sandbox', 'survival', 'exploration', 'moddable', 'crafting', 'roguelike'",", 'all","singleplayer', 'multiplayer', 'horror', 'difficult', 'sandbox', 'survival', 'exploration', 'moddable', 'crafting', 'roguelike', 'all","PC', 'PlayStation 4', 'Xbox One', 'macOS', 'Linux', 'PlayStation 3', 'PS Vita', 'Wii U', 'all",2013
DmC: Devil May Cry,1/15/2013,"PC', 'Xbox One', 'PlayStation 4', 'Xbox 360', 'PlayStation 3'",4.01,314,738,175,44,85,627,"singleplayer', 'atmospheric', 'fantasy', 'gore', 'comedy', 'controller', 'anime', 'stylized', 'demons'",", 'all","singleplayer', 'atmospheric', 'fantasy', 'gore', 'comedy', 'controller', 'anime', 'stylized', 'demons', 'all","PC', 'Xbox One', 'PlayStation 4', 'Xbox 360', 'PlayStation 3', 'all",2013
"Papers, Please",8/8/2013,"PC', 'iOS', 'macOS', 'Linux', 'PS Vita'",4.35,688,518,93,41,85,233,"singleplayer', 'atmospheric', 'difficult', 'stats', 'retro', 'dystopian', 'surreal', 'political'",", 'all","singleplayer', 'atmospheric', 'difficult', 'stats', 'retro', 'dystopian', 'surreal', 'political', 'all","PC', 'iOS', 'macOS', 'Linux', 'PS Vita', 'all",2013
Homefront,3/15/2011,"PC', 'Xbox 360', 'PlayStation 3'",2.91,22,179,315,142,70,631,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'fps', 'short'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'fps', 'short', 'all","PC', 'Xbox 360', 'PlayStation 3', 'all",2011
This War of Mine,11/13/2014,"PC', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux'",4.06,282,537,129,31,83,494,"singleplayer', 'atmospheric', 'difficult', 'survival', 'stealth', 'war', 'crafting', 'roguelike'",", 'all","singleplayer', 'atmospheric', 'difficult', 'survival', 'stealth', 'war', 'crafting', 'roguelike', 'all","PC', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'all",2014
Torchlight II,9/20/2012,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'Linux'",3.86,143,575,148,41,88,541,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'moddable', 'isometric', 'overlay', 'steampunk', 'loot', 'cartoon'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'moddable', 'isometric', 'overlay', 'steampunk', 'loot', 'cartoon', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'Linux', 'all",2012
Guacamelee! Super Turbo Championship Edition,7/1/2014,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Xbox 360', 'Wii U'",3.57,128,355,144,98,80,419,"singleplayer', 'cooperative', 'funny', 'comedy', 'memes', 'colorful', 'metroidvania'",", 'all","singleplayer', 'cooperative', 'funny', 'comedy', 'memes', 'colorful', 'metroidvania', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Xbox 360', 'Wii U', 'all",2014
Assassin's Creed Unity,11/11/2014,"PC', 'PlayStation 4', 'Xbox One'",3.57,153,665,398,109,71,481,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'sandbox', 'stealth', 'tactical', 'historical', 'parkour', 'assassin'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'sandbox', 'stealth', 'tactical', 'historical', 'parkour', 'assassin', 'all","PC', 'PlayStation 4', 'Xbox One', 'all",2014
inFAMOUS Second Son,3/21/2014,PlayStation 4',3.9,273,834,255,54,80,652,exclusive',", 'all","exclusive', 'all","PlayStation 4', 'all",2014
Deus Ex: Human Revolution,8/22/2011,"PC', 'Xbox One', 'macOS', 'Xbox 360', 'PlayStation 3'",4.36,661,504,113,26,89,522,"stealth', 'cyberpunk'",", 'all","stealth', 'cyberpunk', 'all","PC', 'Xbox One', 'macOS', 'Xbox 360', 'PlayStation 3', 'all",2011
Sniper Elite V2,5/1/2012,"PC', 'Nintendo Switch', 'Xbox 360', 'PlayStation 3', 'Wii U'",3.38,45,319,257,72,66,688,"singleplayer', 'multiplayer', 'cooperative', 'fps', 'gore', 'stealth', 'tactical', 'war', 'historical', 'european', 'sniper'",", 'all","singleplayer', 'multiplayer', 'cooperative', 'fps', 'gore', 'stealth', 'tactical', 'war', 'historical', 'european', 'sniper', 'all","PC', 'Nintendo Switch', 'Xbox 360', 'PlayStation 3', 'Wii U', 'all",2012
Beyond: Two Souls,10/8/2013,"PC', 'PlayStation 4', 'PlayStation 3'",3.77,289,709,327,94,73,503,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'violent', 'cinematic', 'drama', 'narration', 'beautiful', 'emotional', 'thriller'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'violent', 'cinematic', 'drama', 'narration', 'beautiful', 'emotional', 'thriller', 'all","PC', 'PlayStation 4', 'PlayStation 3', 'all",2013
FTL: Faster Than Light,9/14/2012,"PC', 'iOS', 'macOS', 'Linux'",4.27,363,354,62,28,84,423,"singleplayer', 'atmospheric', 'rpg', 'difficult', 'survival', 'space', 'roguelike', 'roguelite'",", 'all","singleplayer', 'atmospheric', 'rpg', 'difficult', 'survival', 'space', 'roguelike', 'roguelite', 'all","PC', 'iOS', 'macOS', 'Linux', 'all",2012
Broforce,10/15/2015,"PC', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux'",3.99,281,618,135,53,83,384,"singleplayer', 'multiplayer', 'cooperative', 'funny', 'gore', 'comedy', 'retro', 'america'",", 'all","singleplayer', 'multiplayer', 'cooperative', 'funny', 'gore', 'comedy', 'retro', 'america', 'all","PC', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux', 'all",2015
Sleeping Dogs,8/14/2012,"PC', 'Xbox 360', 'PlayStation 3'",4.1,323,618,113,35,81,643,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'sandbox', 'violent', 'parkour', 'crime', 'driving'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'sandbox', 'violent', 'parkour', 'crime', 'driving', 'all","PC', 'Xbox 360', 'PlayStation 3', 'all",2012
Halo: The Master Chief Collection,11/11/2014,"PC', 'Xbox One'",4.27,428,332,82,35,85,610,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'fps', 'classic', 'space', 'aliens', 'masterpiece', 'epic', 'beautiful'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'fps', 'classic', 'space', 'aliens', 'masterpiece', 'epic', 'beautiful', 'all","PC', 'Xbox One', 'all",2014
Goat Simulator,4/1/2014,"PC', 'Xbox One', 'PlayStation 4', 'iOS', 'Android', 'macOS', 'Linux', 'Xbox 360', 'PlayStation 3'",3.17,68,313,451,140,62,482,"singleplayer', 'funny', 'sandbox', 'exploration', 'comedy', 'moddable', 'physics', 'memes', 'mmorpg', 'destruction'",", 'all","singleplayer', 'funny', 'sandbox', 'exploration', 'comedy', 'moddable', 'physics', 'memes', 'mmorpg', 'destruction', 'all","PC', 'Xbox One', 'PlayStation 4', 'iOS', 'Android', 'macOS', 'Linux', 'Xbox 360', 'PlayStation 3', 'all",2014
Battlefield 4,10/29/2013,"PC', 'Xbox One', 'PlayStation 4', 'Xbox 360', 'PlayStation 3'",3.91,246,730,228,43,81,643,"singleplayer', 'multiplayer', 'fps', 'violent', 'space', 'pvp', 'war', 'military', 'city', 'tanks', 'modern', 'classes', 'water', 'guns', 'rain', 'waves'",", 'all","singleplayer', 'multiplayer', 'fps', 'violent', 'space', 'pvp', 'war', 'military', 'city', 'tanks', 'modern', 'classes', 'water', 'guns', 'rain', 'waves', 'all","PC', 'Xbox One', 'PlayStation 4', 'Xbox 360', 'PlayStation 3', 'all",2013
Call of Duty: Modern Warfare 3,11/8/2011,"PC', 'Xbox One', 'iOS', 'macOS', 'Xbox 360', 'PlayStation 3', 'Wii'",3.75,185,711,320,63,85,664,"singleplayer', 'multiplayer', 'cooperative', 'fps', 'survival', 'controller', 'zombies', 'war', 'military', 'linear'",", 'all","singleplayer', 'multiplayer', 'cooperative', 'fps', 'survival', 'controller', 'zombies', 'war', 'military', 'linear', 'all","PC', 'Xbox One', 'iOS', 'macOS', 'Xbox 360', 'PlayStation 3', 'Wii', 'all",2011
Until Dawn,8/25/2015,"PlayStation 4', 'PlayStation 3'",4.1,412,878,151,40,79,543,"horror', 'exclusive'",", 'all","horror', 'exclusive', 'all","PlayStation 4', 'PlayStation 3', 'all",2015
The Walking Dead: Season 2,12/16/2013,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Xbox 360', 'PlayStation 3', 'PS Vita'",4.01,304,668,176,40,80,634,"singleplayer', 'atmospheric', 'horror', 'gore', 'survival', 'zombies', 'mature', 'cinematic', 'episodic', 'drama'",", 'all","singleplayer', 'atmospheric', 'horror', 'gore', 'survival', 'zombies', 'mature', 'cinematic', 'episodic', 'drama', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Xbox 360', 'PlayStation 3', 'PS Vita', 'all",2013
Fallout Shelter,6/15/2015,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'iOS', 'Android'",3.44,55,592,424,96,63,366,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'horror', 'funny', 'sandbox', 'survival', 'stats', 'crafting', 'building', 'management'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'horror', 'funny', 'sandbox', 'survival', 'stats', 'crafting', 'building', 'management', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'iOS', 'Android', 'all",2015
Alan Wake's American Nightmare,2/22/2012,"PC', 'Xbox One', 'Xbox 360'",3.41,73,313,198,90,73,486,"singleplayer', 'atmospheric', 'horror', 'survival', 'controller', 'short', 'mystery', 'cinematic', 'detective', 'supernatural', 'thriller'",", 'all","singleplayer', 'atmospheric', 'horror', 'survival', 'controller', 'short', 'mystery', 'cinematic', 'detective', 'supernatural', 'thriller', 'all","PC', 'Xbox One', 'Xbox 360', 'all",2012
Sleeping Dogs: Definitive Edition,10/8/2014,"PC', 'Xbox One', 'PlayStation 4', 'macOS'",4.11,273,516,80,31,76,647,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'gore', 'sandbox', 'mature', 'parkour', 'crime', 'remake'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'gore', 'sandbox', 'mature', 'parkour', 'crime', 'remake', 'all","PC', 'Xbox One', 'PlayStation 4', 'macOS', 'all",2014
PAYDAY The Heist,10/18/2011,"PC', 'PlayStation 3'",3.31,32,305,228,84,76,567,"singleplayer', 'multiplayer', 'rpg', 'cooperative', 'fps', 'difficult', 'stealth', 'tactical', 'stats', 'crime', 'heist'",", 'all","singleplayer', 'multiplayer', 'rpg', 'cooperative', 'fps', 'difficult', 'stealth', 'tactical', 'stats', 'crime', 'heist', 'all","PC', 'PlayStation 3', 'all",2011
A Story About My Uncle,5/27/2014,"PC', 'macOS', 'Linux'",3.14,28,242,158,112,73,486,"singleplayer', 'atmospheric', 'horror', 'fantasy', 'difficult', 'short', 'parkour', 'narration'",", 'all","singleplayer', 'atmospheric', 'horror', 'fantasy', 'difficult', 'short', 'parkour', 'narration', 'all","PC', 'macOS', 'Linux', 'all",2014
Dragon Age: Inquisition,11/18/2014,"PC', 'PlayStation 4', 'Xbox One', 'Xbox 360', 'PlayStation 3'",3.79,295,590,304,86,86,688,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'fantasy', 'nudity', 'war', 'combat', 'battle', 'character', 'crpg', 'dragons', 'race', 'explore', 'classes'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'fantasy', 'nudity', 'war', 'combat', 'battle', 'character', 'crpg', 'dragons', 'race', 'explore', 'classes', 'all","PC', 'PlayStation 4', 'Xbox One', 'Xbox 360', 'PlayStation 3', 'all",2014
Kingdom: Classic,9/21/2015,"PC', 'macOS', 'Linux'",3.37,51,239,97,84,74,409,"singleplayer', 'atmospheric', 'difficult', 'survival', 'roguelike', 'medieval'",", 'all","singleplayer', 'atmospheric', 'difficult', 'survival', 'roguelike', 'medieval', 'all","PC', 'macOS', 'Linux', 'all",2015
Yakuza 0,3/12/2015,"PC', 'PlayStation 4', 'Xbox One', 'PlayStation 3'",4.37,534,215,63,51,85,482,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'funny', 'comedy', 'violent', 'anime', 'mature', 'crime', 'drama', 'minigames'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'funny', 'comedy', 'violent', 'anime', 'mature', 'crime', 'drama', 'minigames', 'all","PC', 'PlayStation 4', 'Xbox One', 'PlayStation 3', 'all",2015
Dark Souls: Prepare To Die Edition,8/23/2012,"PC', 'Xbox 360', 'PlayStation 3'",4.36,675,244,92,66,85,666,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'fantasy', 'difficult', 'exploration', 'dark', 'medieval'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'fantasy', 'difficult', 'exploration', 'dark', 'medieval', 'all","PC', 'Xbox 360', 'PlayStation 3', 'all",2012
To the Moon,1/10/2011,"PC', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux'",4.26,512,273,78,64,81,344,"singleplayer', 'rpg', 'funny', 'retro', 'short', 'cute', 'linear', 'romance', 'rpgmaker', 'psychological'",", 'all","singleplayer', 'rpg', 'funny', 'retro', 'short', 'cute', 'linear', 'romance', 'rpgmaker', 'psychological', 'all","PC', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'all",2011
Call of Duty: Black Ops II,11/13/2012,"PC', 'Xbox One', 'Xbox 360', 'PlayStation 3', 'Wii U'",3.93,254,618,215,38,74,597,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'fps', 'survival', 'tactical', 'controller', 'zombies', 'war', 'futuristic', 'story', 'character', 'death'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'fps', 'survival', 'tactical', 'controller', 'zombies', 'war', 'futuristic', 'story', 'character', 'death', 'all","PC', 'Xbox One', 'Xbox 360', 'PlayStation 3', 'Wii U', 'all",2012
Resident Evil 6,10/2/2012,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Xbox 360', 'PlayStation 3', 'Web'",3.38,84,447,365,117,67,628,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'survival', 'zombies'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'survival', 'zombies', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Xbox 360', 'PlayStation 3', 'Web', 'all",2012
"Warhammer 40,000: Space Marine",9/5/2011,"PC', 'Xbox 360', 'PlayStation 3'",3.41,61,278,176,79,74,676,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'gore', 'controller', 'futuristic', 'dystopian'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'gore', 'controller', 'futuristic', 'dystopian', 'all","PC', 'Xbox 360', 'PlayStation 3', 'all",2011
Age of Wonders III,3/31/2014,"PC', 'macOS', 'Linux'",2.96,18,140,118,96,80,533,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'classic', 'tactical', 'moddable'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'classic', 'tactical', 'moddable', 'all","PC', 'macOS', 'Linux', 'all",2014
Darksiders II,8/14/2012,"PC', 'Nintendo Switch', 'Xbox 360', 'PlayStation 3', 'Wii U'",3.72,148,428,206,59,83,716,"war', 'combat', 'battle', 'character', 'soundtrack', 'death', 'apocalypse', 'quest'",", 'all","war', 'combat', 'battle', 'character', 'soundtrack', 'death', 'apocalypse', 'quest', 'all","PC', 'Nintendo Switch', 'Xbox 360', 'PlayStation 3', 'Wii U', 'all",2012
Assassin's Creed Syndicate,10/13/2015,"PC', 'PlayStation 4', 'Xbox One'",3.68,153,638,335,68,74,674,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'funny', 'gore', 'stealth', 'historical', 'parkour', 'steampunk', 'assassin', 'illuminati'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'funny', 'gore', 'stealth', 'historical', 'parkour', 'steampunk', 'assassin', 'illuminati', 'all","PC', 'PlayStation 4', 'Xbox One', 'all",2015
Dying Light: The Following - Enhanced Edition,1/26/2015,"PC', 'Xbox One', 'PlayStation 4', 'macOS', 'Linux'",4.18,283,411,77,21,87,691,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'horror', 'fps', 'gore', 'sandbox', 'survival', 'stealth', 'zombies', 'crafting', 'parkour'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'horror', 'fps', 'gore', 'sandbox', 'survival', 'stealth', 'zombies', 'crafting', 'parkour', 'all","PC', 'Xbox One', 'PlayStation 4', 'macOS', 'Linux', 'all",2015
Tropico 4,8/24/2011,"PC', 'Xbox One', 'macOS', 'Xbox 360'",3.48,48,246,82,65,78,530,"singleplayer', 'atmospheric', 'funny', 'sandbox', 'comedy', 'rts', 'building', 'management', 'economy', 'political', 'politics', 'capitalism'",", 'all","singleplayer', 'atmospheric', 'funny', 'sandbox', 'comedy', 'rts', 'building', 'management', 'economy', 'political', 'politics', 'capitalism', 'all","PC', 'Xbox One', 'macOS', 'Xbox 360', 'all",2011
Game of Thrones - A Telltale Games Series,12/2/2014,"PC', 'Xbox One', 'PlayStation 4', 'iOS', 'Android', 'macOS', 'Xbox 360', 'PlayStation 3'",3.21,72,334,323,149,66,668,"singleplayer', 'atmospheric', 'fantasy', 'gore', 'controller', 'nudity', 'war', 'mature', 'medieval', 'achievements', 'episodic', 'dragons'",", 'all","singleplayer', 'atmospheric', 'fantasy', 'gore', 'controller', 'nudity', 'war', 'mature', 'medieval', 'achievements', 'episodic', 'dragons', 'all","PC', 'Xbox One', 'PlayStation 4', 'iOS', 'Android', 'macOS', 'Xbox 360', 'PlayStation 3', 'all",2014
Guns of Icarus Online,9/30/2012,"PC', 'macOS', 'Linux'",2.59,11,78,142,122,64,534,"multiplayer', 'cooperative', 'fps', 'tactical', 'stats', 'pvp', 'competitive', 'steampunk', 'kickstarter', 'flight'",", 'all","multiplayer', 'cooperative', 'fps', 'tactical', 'stats', 'pvp', 'competitive', 'steampunk', 'kickstarter', 'flight', 'all","PC', 'macOS', 'Linux', 'all",2012
Dark Souls II: Scholar of the First Sin,4/1/2015,"PC', 'PlayStation 4', 'Xbox One'",4.16,348,406,106,32,79,712,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'difficult', 'dark', 'pvp', 'medieval', 'remake'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'difficult', 'dark', 'pvp', 'medieval', 'remake', 'all","PC', 'PlayStation 4', 'Xbox One', 'all",2015
Destiny,9/9/2014,"PlayStation 4', 'Xbox One', 'Xbox 360', 'PlayStation 3'",3.69,192,406,287,67,76,652,"singleplayer', 'multiplayer', 'raid'",", 'all","singleplayer', 'multiplayer', 'raid', 'all","PlayStation 4', 'Xbox One', 'Xbox 360', 'PlayStation 3', 'all",2014
Mark of the Ninja,9/7/2012,"PC', 'Nintendo Switch', 'macOS', 'Linux', 'Xbox 360'",3.99,209,340,82,45,91,487,"singleplayer', 'atmospheric', 'stealth', 'controller', 'dark', 'short', 'assassin', 'cartoon', 'ninja'",", 'all","singleplayer', 'atmospheric', 'stealth', 'controller', 'dark', 'short', 'assassin', 'cartoon', 'ninja', 'all","PC', 'Nintendo Switch', 'macOS', 'Linux', 'Xbox 360', 'all",2012
Lords of the Fallen,10/28/2014,"PC', 'Xbox One', 'PlayStation 4', 'iOS', 'Android'",2.93,29,226,364,168,73,672,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'horror', 'fantasy', 'difficult', 'medieval', 'magic'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'horror', 'fantasy', 'difficult', 'medieval', 'magic', 'all","PC', 'Xbox One', 'PlayStation 4', 'iOS', 'Android', 'all",2014
Jotun: Valhalla Edition,9/29/2015,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux'",3.06,19,188,145,100,79,486,"singleplayer', 'atmospheric', 'fantasy', 'difficult', 'exploration', 'controller', 'isometric', 'kickstarter', 'mythology', 'norse'",", 'all","singleplayer', 'atmospheric', 'fantasy', 'difficult', 'exploration', 'controller', 'isometric', 'kickstarter', 'mythology', 'norse', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux', 'all",2015
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,9/13/2011,PC',3.26,53,149,94,79,76,583,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'fps', 'difficult', 'gore', 'tactical', 'stats', 'war', 'historical', 'realistic', 'military', 'tanks'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'fps', 'difficult', 'gore', 'tactical', 'stats', 'war', 'historical', 'realistic', 'military', 'tanks', 'all","PC', 'all",2011
Sanctum 2,5/15/2013,"PC', 'macOS', 'Linux', 'Xbox 360', 'PlayStation 3'",2.97,15,118,135,80,77,512,"singleplayer', 'multiplayer', 'rpg', 'cooperative', 'fps', 'funny', 'survival', 'futuristic', 'aliens'",", 'all","singleplayer', 'multiplayer', 'rpg', 'cooperative', 'fps', 'funny', 'survival', 'futuristic', 'aliens', 'all","PC', 'macOS', 'Linux', 'Xbox 360', 'PlayStation 3', 'all",2013
Black Desert Online,12/1/2014,"PC', 'Xbox One', 'PlayStation 4'",3.06,30,140,164,88,73,594,"multiplayer', 'rpg', 'cooperative', 'fantasy', 'sandbox', 'violent', 'anime', 'nudity', 'pvp', 'mmo', 'mmorpg', 'fishing'",", 'all","multiplayer', 'rpg', 'cooperative', 'fantasy', 'sandbox', 'violent', 'anime', 'nudity', 'pvp', 'mmo', 'mmorpg', 'fishing', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2014
LEGO The Lord of the Rings,9/28/2012,"PC', 'iOS', 'Android', 'Nintendo 3DS', 'Nintendo DS', 'Xbox 360', 'PlayStation 3', 'PS Vita', 'Wii'",3.47,65,267,83,81,80,551,"singleplayer', 'multiplayer', 'cooperative', 'funny', 'fantasy', 'comedy', 'controller', 'lego'",", 'all","singleplayer', 'multiplayer', 'cooperative', 'funny', 'fantasy', 'comedy', 'controller', 'lego', 'all","PC', 'iOS', 'Android', 'Nintendo 3DS', 'Nintendo DS', 'Xbox 360', 'PlayStation 3', 'PS Vita', 'Wii', 'all",2012
SMITE,8/19/2015,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS'",3.11,54,213,248,125,83,630,"multiplayer', 'rpg', 'cooperative', 'funny', 'survival', 'nudity', 'pvp', 'competitive', 'mmorpg', 'moba', 'mythology'",", 'all","multiplayer', 'rpg', 'cooperative', 'funny', 'survival', 'nudity', 'pvp', 'competitive', 'mmorpg', 'moba', 'mythology', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'all",2015
Titan Souls,4/13/2015,"PC', 'PlayStation 4', 'macOS', 'PS Vita'",3.37,38,192,132,56,74,312,"singleplayer', 'atmospheric', 'fantasy', 'difficult', 'controller', 'retro', 'short', 'roguelike'",", 'all","singleplayer', 'atmospheric', 'fantasy', 'difficult', 'controller', 'retro', 'short', 'roguelike', 'all","PC', 'PlayStation 4', 'macOS', 'PS Vita', 'all",2015
Child of Light,4/29/2014,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Xbox 360', 'PlayStation 3', 'PS Vita', 'Wii U'",3.88,187,472,140,49,77,628,"singleplayer', 'atmospheric', 'rpg', 'fantasy', 'cute', 'metroidvania'",", 'all","singleplayer', 'atmospheric', 'rpg', 'fantasy', 'cute', 'metroidvania', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Xbox 360', 'PlayStation 3', 'PS Vita', 'Wii U', 'all",2014
Murdered: Soul Suspect,6/3/2014,"PC', 'Xbox One', 'PlayStation 4', 'Xbox 360', 'PlayStation 3'",3.44,66,381,271,80,59,584,"singleplayer', 'atmospheric', 'rpg', 'horror', 'stealth', 'dark', 'short', 'mystery', 'crime', 'detective', 'noir', 'supernatural'",", 'all","singleplayer', 'atmospheric', 'rpg', 'horror', 'stealth', 'dark', 'short', 'mystery', 'crime', 'detective', 'noir', 'supernatural', 'all","PC', 'Xbox One', 'PlayStation 4', 'Xbox 360', 'PlayStation 3', 'all",2014
